uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0817-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0817-grado-en-ingenieria-electronica-y-automatica-rama-industrial,,36,2,9,36,9,,43,,5.525,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA ELECTRÓNICA Y AUTOMÁTICA (RAMA INDUSTRIAL) (0817),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1113-grado-en-relaciones-laborales-y-recursos-humanos,,17,2,21,18,22,,38,,5.22,Indicadores DemandaUniversitaria 2020 GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (1113),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1191-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1191-pceo-administracion-y-direccion-de-empresas-y-economia,,14,1,18,14,18,,31,,5.135,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS / ECONOMÍA (1191),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1408-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1408-grado-en-turismo,,8,2,13,8,14,,20,,5.033,Indicadores DemandaUniversitaria 2020 GRADO EN TURISMO (1408),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1411-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1411-grado-en-finanzas-y-contabilidad,,8,1,16,8,17,,24,,5.686,Indicadores DemandaUniversitaria 2020 GRADO EN FINANZAS Y CONTABILIDAD (1411),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1490-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1490-pceo-administracion-y-direccion-de-empresas-y-turismo,,10,1,15,10,15,,24,,5.652,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS / TURISMO (1490),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1627-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1627-grado-en-ingenieria-informatica-en-ingenieria-de-computadores,,57,2,3,59,3,,60,,5.289,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES (1627),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1628-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1628-grado-en-ingenieria-de-sonido-e-imagen-en-telecomunicacion,,21,2,5,21,5,,24,,5.304,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA DE SONIDO E IMAGEN EN TELECOMUNICACIÓN (1628),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1704-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1704-grado-en-comunicacion-audiovisual,,17,2,26,18,27,,43,,5.758,Indicadores DemandaUniversitaria 2020 GRADO EN COMUNICACIÓN AUDIOVISUAL (1704),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0129-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0129-grado-en-estadistica,,15,,10,15,10,,25,,6.092,Indicadores DemandaUniversitaria 2020 GRADO EN ESTADÍSTICA (0129),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0136-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0136-grado-en-biotecnologia,,14,,25,14,25,,39,,7.559,Indicadores DemandaUniversitaria 2020 GRADO EN BIOTECNOLOGÍA (0136),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0424-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0424-grado-en-estudios-ingleses,,13,,32,13,32,,45,,6.21,Indicadores DemandaUniversitaria 2020 GRADO EN ESTUDIOS INGLESES (0424),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0427-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0427-grado-en-geografia-y-ordenacion-del-territorio,,3,,1,3,1,,4,,5.282,Indicadores DemandaUniversitaria 2020 GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO (0427),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0430-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0430-grado-en-lenguas-y-literaturas-modernas-frances,,3,,3,3,3,,6,,6.55,Indicadores DemandaUniversitaria 2020 GRADO EN LENGUAS Y LITERATURAS MODERNAS - FRANCÉS (0430),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0431-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0431-grado-en-lenguas-y-literaturas-modernas-portugues,,3,,5,3,7,,10,,5.534,Indicadores DemandaUniversitaria 2020 GRADO EN LENGUAS Y LITERATURAS MODERNAS - PORTUGUÉS (0431),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0511-grado-en-ingenieria-de-las-explotaciones-agropecuarias,,29,,7,30,7,,37,,5.206,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA DE LAS EXPLOTACIONES AGROPECUARIAS (0511),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0512-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0512-grado-en-ingenieria-de-las-industrias-agrarias-y-alimentarias-badajoz,,8,,8,8,8,,16,,5.002,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGRARIAS Y ALIMENTARIAS (BADAJOZ) (0512),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0724-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0724-grado-en-educacion-primaria-modalidad-bilingue-espanol-ingles,,24,,46,24,46,,70,,5.643,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA. Modalidad Bilingüe (Español-Inglés) (0724),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0818-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0818-grado-en-ingenieria-mecanica-rama-industrial,,44,,2,44,2,,46,,5.49,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA MECÁNICA (RAMA INDUSTRIAL) (0818),,,,2019-2020
